Name, Email
Saud Anwar,anwar@senatedems.ct.gov
Eric Berthel,Eric.Berthel@cga.ct.gov
Jorge Cabrera,Cabrera@senatedems.ct.gov
Paul Cicarella,Paul.Cicarella@cga.ct.gov
Christine Cohen,cohen@senatedems.ct.gov
Bob Duff,Duff@senatedems.ct.gov
Ryan Fazio,Ryan.Fazio@cga.ct.gov
Mae Flexer,Flexer@senatedems.ct.gov
John Fonfara,Fonfara@senatedems.ct.gov
Jeff Gordon,Jeff.Gordon@cga.ct.gov
Herron Gaston,Gaston@senatedems.ct.gov
Tony Hwang,Hwang@senatedems.ct.gov
Jan Hochadel,Hochadel@senatedems.ct.gov
Joan Hartley,Joan.Hartley@cga.ct.gov
Stephen Harding,Stephen.Harding@cga.ct.gov
Patricia Billie Miller,Miller@senatedems.ct.gov
Martha Marx,Marx@senatedems.ct.gov
James Maroney,Maroney@senatedems.ct.gov
Cathy Osten,Osten@senatedems.ct.gov
Norm Needleman,Needleman@senatedems.ct.gov
Julie Kushner,Kushner@senatedems.ct.gov
Matt Lesser,Lesser@senatedems.ct.gov
Rick Lopes,Lopes@senatedems.ct.gov
Marty Looney,Looney@senatedems.ct.gov
Ceci Maher,Maher@senatedems.ct.gov
John Kissel,John.Kissel@cga.ct.gov
Henri Martin,Henri.Martin@cga.ct.gov
Heather Somers,Heather.Somers@cga.ct.gov
Derek Slap,Slap@senatedems.ct.gov
Gary Winfield,Winfield@senatedems.ct.gov
Rob Sampson,Rob.Sampson@cga.ct.gov
Jason Perillo,Jason.Perillo@cga.ct.gov
Doug McCrory,McCrory@senatedems.ct.gov
Pat Boyd,Pat.Boyd@cga.ct.gov
Paul Honig,Paul.Honig@cga.ct.gov
Sujata Gadkar-Wilcox,Gadkar-Wilcox@senatedems.ct.gov

