Name, Email
Rodric Bray,Senator.Bray@iga.in.gov
Justin Busch,S52@iga.in.gov
Lindsey Brown,S44@iga.in.gov
Stacey Donato,S18@iga.in.gov
Eric Bassler,S39@iga.in.gov
Scott Baldwin,S20@iga.in.gov
Chris Garten,S45@iga.in.gov
Gary Byrne,S47@iga.in.gov
Jean Leising,S42@iga.in.gov
Mike Bohacek,S8@iga.in.gov
Brian Buchanan,S7@iga.in.gov
Shelli Yoder,S40@iga.in.gov
Ron Alting,S22@iga.in.gov
Rick Niemeyer,S6@iga.in.gov
Jim Buck,S21@iga.in.gov
Aaron Freeman,S32@iga.in.gov
Jeff Raatz,S27@iga.in.gov
Greg Walker,S41@iga.in.gov
Rick Taylor,S11@iga.in.gov
Fady Qaddoura,S30@iga.in.gov
J.D. Ford,S29@iga.in.gov
Andrea Hunley,S46@iga.in.gov
Kyle Walker,S31@iga.in.gov
Michael Crider,S28@iga.in.gov
Mark Messmer,S48@iga.in.gov
Ed Charbonneau,S5@iga.in.gov
Ron Grooms,S47@iga.in.gov
Vaneta Becker,S50@iga.in.gov
Jon Ford,S38@iga.in.gov
David Niezgodski,S10@iga.in.gov
Ryan Mishler,S9@iga.in.gov
Blake Doriot,S12@iga.in.gov
Susan Glick,S13@iga.in.gov
Andy Zay,S17
