Name, Email
Kevin Alons,kevin.alons@legis.iowa.gov
Liz Bennett,liz.bennett@legis.iowa.gov
Tony Bisignano,tony.bisignano@legis.iowa.gov
Matt Blake,matt.blake@legis.iowa.gov
Mike Bousselot,mike.bousselot@legis.iowa.gov
Doug Campbell,doug.campbell@legis.iowa.gov
Mark Costello,mark.costello@legis.iowa.gov
Dan Dawson,dan.dawson@legis.iowa.gov
Adrian Dickey,adrian.dickey@legis.iowa.gov
Molly Donahue,molly.donahue@legis.iowa.gov
William Dotzler,bill.dotzler@legis.iowa.gov
Catelin Drey,catelin.drey@legis.iowa.gov
Dawn Driscoll,dawn.driscoll@legis.iowa.gov
Lynn Evans,lynn.evans@legis.iowa.gov
Julian Garrett,julian.garrett@legis.iowa.gov
Jesse Green,jesse.green@legis.iowa.gov
Kerry Gruenhagen,kerry.gruenhagen@legis.iowa.gov
Dennis Guth,dennis.guth@legis.iowa.gov
Renee Hardman,renee.hardman@legis.iowa.gov
Mike Klimesh,mike.klimesh@legis.iowa.gov
Izaah Knox,izaah.knox@legis.iowa.gov
Carrie Koelker,carrie.koelker@legis.iowa.gov
Tim Kraayenbrink,tim.kraayenbrink@legis.iowa.gov
Mark Lofgren,mark.lofgren@legis.iowa.gov
Charlie McClintock,charlie.mcclintock@legis.iowa.gov
Janet Petersen,janet.petersen@legis.iowa.gov
Mike Pike,mike.pike@legis.iowa.gov
Herman Quirmbach,herman.quirmbach@legis.iowa.gov
Jeff Reichman,jeff.reichman@legis.iowa.gov
David Deyoe,david.deyoe@legis.iowa.gov
