Name, Email
Larry Alley,Larry.Alley@senate.ks.gov
Mike Argabright,Mike.Argabright@senate.ks.gov
Rick Billinger,Rick.Billinger@senate.ks.gov
Chase Blasi,Chase.Blasi@senate.ks.gov
Tory Marie Blew,ToryMarie.Blew@senate.ks.gov
Elaine Bowers,Elaine.Bowers@senate.ks.gov
Craig Bowser,Craig.Bowser@senate.ks.gov
Joseph Claeys,Joseph.Claeys@senate.ks.gov
William Clifford,William.Clifford@senate.ks.gov
Ethan Corson,Ethan.Corson@senate.ks.gov
Brenda Dietrich,Brenda.Dietrich@senate.ks.gov
Renee Erickson,Renee.Erickson@senate.ks.gov
Beverly Gossage,Beverly.Gossage@senate.ks.gov
Dan Goddard,Dan.Goddard@senate.ks.gov
Brenda Landwehr,Brenda.Landwehr@senate.ks.gov
Carolyn McGinn,Carolyn.McGinn@senate.ks.gov
Michael Fagg,Michael.Fagg@senate.ks.gov
Virgil Peck,Virgil.Peck@senate.ks.gov
Jeff Pittman,Jeff.Pittman@senate.ks.gov
Kristen O’Shea,Kristen.Oshea@senate.ks.gov
Mike Petersen,Mike.Petersen@senate.ks.gov
Pat Pettey,Pat.Pettey@senate.ks.gov
Rick Kloos,Rick.Kloos@senate.ks.gov
Ty Masterson,Ty.Masterson@senate.ks.gov
Molly Baumgardner,Molly.Baumgardner@senate.ks.gov
Marci Francisco,Marci.Francisco@senate.ks.gov
Tom Holland,Tom.Holland@senate.ks.gov
Jeff Longbine,Jeff.Longbine@senate.ks.gov
Carolyn Coleman,Carolyn.Coleman@senate.ks.gov
Dennis Pyle,Dennis.Pyle@senate.ks.gov
Alicia Straub,Alicia.Straub@senate.ks.gov
Mike Thompson,Mike.Thompson@senate.ks.gov
Chase Neighbors,Chase.Neighbors@senate.ks.gov
John Doll,John.Doll@senate.ks.gov
J.R. Claeys,JR.Claeys@senate.ks.gov
Virgil Weigel,Virgil.Weigel@senate.ks.gov
Usha Reddi,Usha.Reddi@senate.ks.gov
Brenda S. Dietrich,Brenda.Dietrich@senate.ks.gov
Caryn Tyson,Caryn.Tyson@senate.ks.gov
